Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What does Christmas really mean?	While we all love Santa Claus, the real meaning of Christmas is to commemorate the birth of Jesus.	santa-knowlendge-base.pdf		[]	false	[]	1
What does Christmas truly mean?	While we all love Santa Claus, the real meaning of Christmas is to commemorate the birth of Jesus.	santa-knowlendge-base.pdf		[]	false	[]	1
What is the worldʼs tallest Christmas tree?	According to the Guinness World Records, the worldʼs tallest cut Christmas tree was a 221 ft Douglas fir that stood at Northgate Shopping Center, in Seattle, Washington, during Christmas 1950.\n\nThatʼs nearly the equivalent of the wingspan of a Boeing 747-8, which is 225 feet. Itʼs also nearly as tall as a Giant Sequoia tree, which can grow as tall as 250 feet tall.	santa-knowlendge-base.pdf		[]	false	[]	2
Where did Christmas trees come from?	According to historians, Germany is credited with starting the Christmas tree tradition that originated during the German Renaissance sometime in the 15th and 16th centuries.	santa-knowlendge-base.pdf		[]	false	[]	3
Where did Christmas trees originate from?	According to historians, Germany is credited with starting the Christmas tree tradition that originated during the German Renaissance sometime in the 15th and 16th centuries.	santa-knowlendge-base.pdf		[]	false	[]	3
When is Christmas 2020?	Christmas 2020 is Friday, December 25, 2020.	santa-knowlendge-base.pdf		[]	false	[]	4
Do Santaʼs elves have names?	Have you ever wondered what the names are of Santaʼs elves who make the toys in Santaʼs workshop and take care of Santaʼs reindeer? While the official names of Santaʼs elves are unknown, it is said their names range from Blink to Patch to Puffy and many other fun names that often describe them.	santa-knowlendge-base.pdf		[]	false	[]	5
Does Santa pay his elves?	Elves receive room and board in exchange for the hours worked in Santaʼs workshop.	santa-knowlendge-base.pdf		[]	false	[]	6
How many elves does Santa have?	The number of elves that work for Santa continues to go up each year. In 2018, the number of elves jumped to over 90,000. The number is expected to reach nearly 100,000 by Christmas 2019.	santa-knowlendge-base.pdf		[]	false	[]	7
Which is Santaʼs favorite elf?	Santa doesnʼt have a favorite elf, he loves all of his elves.\n\nBut because no two elves are identical and each elf has their own unique personality, Santa loves each elf differently. As far as having a favorite elf, love and favoritism do not mean the same thing. Santa doesnʼt set out to have a favorite elf, but sometimes it just happens. For example, after a long night of delivering gifts, Santa might favorite the elf that brings him a nice cup of hot chocolate. But his favorite elf changes all the time and can change by the hour, the day, the week, the month, or the year.	santa-knowlendge-base.pdf		[]	false	[]	8
Why do Santaʼs elves have pointy ears?	If you happened to see one of Santaʼs elves, you might have wondered why they have pointed or pointy ears.\n\nPointy ears are just one of the unique characteristics of elves that make them special.	santa-knowlendge-base.pdf		[]	false	[]	9
Does Mrs. Claus have children?	Santa and Mrs. Claus do not have children of their own. While the elves are not their children, they treat them like members of the family.	santa-knowlendge-base.pdf		[]	false	[]	10
Does Mrs. Claus have kids?	Santa and Mrs. Claus do not have children of their own. While the elves are not their children, they treat them like members of the family.	santa-knowlendge-base.pdf		[]	false	[]	10
How old is Mrs. Claus?	The exact age of Mrs. Claus, the wife of Santa Claus, is unknown. But it is estimated she must be somewhere around 170 years old. Exact dates of birth were not recorded for Santa and Mrs. Claus.	santa-knowlendge-base.pdf		[]	false	[]	11
santa age	The exact age of Mrs. Claus, the wife of Santa Claus, is unknown. But it is estimated she must be somewhere around 170 years old. Exact dates of birth were not recorded for Santa and Mrs. Claus.	santa-knowlendge-base.pdf		[]	false	[]	11
What does Mrs. Claus look like?	Mrs. Claus is a heavy-set woman with white hair and gentle eyes. She is sweet in her nature and very well liked by children of all ages.	santa-knowlendge-base.pdf		[]	false	[]	12
What does Mrs. Claus resemble?	Mrs. Claus is a heavy-set woman with white hair and gentle eyes. She is sweet in her nature and very well liked by children of all ages.	santa-knowlendge-base.pdf		[]	false	[]	12
What is Mrs. Clausʼ first name?	Mrs. Clausʼ first name is unknown, at least in the eyes of the record keepers. That doesnʼt stop people from guessing her first name. Many people believe her first name to be Anya, Mary, Carol, or Gertrude.	santa-knowlendge-base.pdf		[]	false	[]	13
Can Santa bring me a puppy?	While itʼs not completely out of the question for Santa to bring a pet for Christmas, Santa Claus typically brings presents such as toys. Santa normally does not bring puppies or kittens.\n\nThe elves who work in Santaʼs Workshop make presents and toys that Santa delivers each Christmas.	santa-knowlendge-base.pdf		[]	false	[]	14
Would santa be able to present to me a doggie?	While itʼs not completely out of the question for Santa to bring a pet for Christmas, Santa Claus typically brings presents such as toys. Santa normally does not bring puppies or kittens.\n\nThe elves who work in Santaʼs Workshop make presents and toys that Santa delivers each Christmas.	santa-knowlendge-base.pdf		[]	false	[]	14
Does Santa bring presents to adults?	Kids of all ages can receive a gift from Santa. Not only do children get gifts from Santa, but grown-ups can, too, as long as theyʼre not on Santaʼs naughty list.	santa-knowlendge-base.pdf		[]	false	[]	15
Does Santa carry presents to grown-ups?	Kids of all ages can receive a gift from Santa. Not only do children get gifts from Santa, but grown-ups can, too, as long as theyʼre not on Santaʼs naughty list.	santa-knowlendge-base.pdf		[]	false	[]	15
